filename,text
crops\crop_000216.png,WD40 27ML MOO 2572
crops\crop_000217.png,WA43-A - 24
crops\crop_000218.png,079567600084
crops\crop_000219.png,1
crops\crop_000220.png,X
crops\crop_000221.png,11.23
crops\crop_000222.png,11.23
crops\crop_000223.png,KLEENSO AJAIB 99 SERAI WANYI 900G
crops\crop_000224.png,WDOO - 15
crops\crop_000225.png,9555651400385
crops\crop_000226.png,1
crops\crop_000227.png,X
crops\crop_000228.png,7.45
crops\crop_000229.png,7.45
crops\crop_000230.png,HANDKERCHIEF 71386#2PCS
crops\crop_000231.png,PI12PJ11-4 - 6/300
crops\crop_000232.png,9090822
crops\crop_000233.png,1
crops\crop_000234.png,X
crops\crop_000235.png,4.50
crops\crop_000236.png,4.50
crops\crop_000237.png,ITEM (S) : 5
crops\crop_000238.png,QTY(S) : 5
crops\crop_000239.png,TOTAL
crops\crop_000240.png,RM 30.91
crops\crop_000241.png,ROUNDING ADJUSTMENT
crops\crop_000242.png,RM 0.01
crops\crop_000243.png,TOTAL ROUNDED
crops\crop_000244.png,RM 30.90
crops\crop_000245.png,CASH
crops\crop_000246.png,RM 51.00
crops\crop_000247.png,CHANGE
crops\crop_000248.png,RM 20.10
crops\crop_000249.png,18-11-18 13 : 58 SH01 ZI53
crops\crop_000250.png,T2 R000002902
crops\crop_000251.png,UPERATOR TRAINEE CASHIER
crops\crop_000252.png,EXCHANGE ARE ALLOWED WITHIN
crops\crop_000253.png,7 DAYS WITH RECEIPT.
crops\crop_000254.png,STRICTLY NO CASH REFUND.
crops\crop_000255.png,TAN CHAY YEE
crops\crop_000256.png,ABC HO TRADING
crops\crop_000257.png,TAMAN DESA HARMONI.
crops\crop_000258.png,81100 JOHOR BAHRU JOHOR
crops\crop_000259.png,07-355 2616
crops\crop_000260.png,CASH BILL :
crops\crop_000261.png,01-143008
crops\crop_000262.png,DATE
crops\crop_000263.png,:
crops\crop_000264.png,09/01/2019 8:01:11 PM
crops\crop_000265.png,CASHIER
crops\crop_000266.png,:
crops\crop_000267.png,01
crops\crop_000268.png,DESCRIPTION
crops\crop_000269.png,QTY
crops\crop_000270.png,PRICE
crops\crop_000271.png,AMOUNT
crops\crop_000272.png,RM
crops\crop_000273.png,RM
crops\crop_000274.png,PLASTIC
crops\crop_000275.png,2
crops\crop_000276.png,15.50
crops\crop_000277.png,31.00
crops\crop_000278.png,TOTAL :
crops\crop_000279.png,31.00
crops\crop_000280.png,TOTAL AMOUNT:
crops\crop_000281.png,31.00
crops\crop_000282.png,CASH RECEIVED :
crops\crop_000283.png,101.00
crops\crop_000284.png,CHANGE :
crops\crop_000285.png,70.00
crops\crop_000286.png,*GOODS SOLD ARE NON-REFUNDABLE*
crops\crop_000287.png,***THANK YOU***
crops\crop_000288.png,***PLEASE COME AGAIN***
crops\crop_000379.png,TAN CHAY YEE
crops\crop_000380.png,S.H.H. MOTOR (SUNGAI RENGIT) SDN. BHD.
crops\crop_000381.png,(801580-T)
crops\crop_000382.png,TEL: 07-8263254 FAX: 07-8266888
crops\crop_000383.png,INVOICE
crops\crop_000384.png,ITEM/DESC.
crops\crop_000385.png,QTY U.PRICE RM(TOTAL)
crops\crop_000386.png,4132
crops\crop_000387.png,1
crops\crop_000388.png,20.00
crops\crop_000389.png,20.00
crops\crop_000390.png,CROCS 300X17 TUBES
crops\crop_000391.png,SUB TOTAL :
crops\crop_000392.png,20.00
crops\crop_000393.png,ROUNDING ADJUSTMENT :
crops\crop_000394.png,0.00
crops\crop_000395.png,GRAND TOTAL :
crops\crop_000396.png,20.00
crops\crop_000397.png,CASH :
crops\crop_000398.png,20.00
crops\crop_000399.png,CHANGE :
crops\crop_000400.png,0.00
crops\crop_000401.png,INVOICE NO: 22497
crops\crop_000402.png,THANKS YOUR SUPPORT
crops\crop_000403.png,PERNIAGAAN ZHENG HUI
crops\crop_000404.png,JM0325955-V
crops\crop_000405.png,NO.59 JALAN PERMAS 9/5
crops\crop_000406.png,BANDAR BARU PERMAS JAYA
crops\crop_000407.png,81760 JOHOR BAHRU
crops\crop_000408.png,TEL : 07-386 7524 FAX : 07-386 3793
crops\crop_000409.png,GST NO: 000800589824
crops\crop_000410.png,SIMPLIFIED TAX INVOICE
crops\crop_000411.png,GOGIANT ENGINEERING (M) SDN BHD
crops\crop_000412.png,RECEIPT#: CS00082662
crops\crop_000413.png,SALESPERSON:
crops\crop_000414.png,DATE: 12/02/2018
crops\crop_000415.png,CASHIER: USER
crops\crop_000416.png,TIME:08:30:00
crops\crop_000417.png,(RM)
crops\crop_000418.png,(RM)
crops\crop_000419.png,ITEM
crops\crop_000420.png,QTY
crops\crop_000421.png,RSP
crops\crop_000422.png,AMOUNT
crops\crop_000423.png,8239
crops\crop_000424.png,1
crops\crop_000425.png,15.00
crops\crop_000426.png,15.00
crops\crop_000427.png,"SR: 11"" PROWESS H/DUTY SILICONE GUN G-D2"
crops\crop_000428.png,9555075109147
crops\crop_000429.png,3
crops\crop_000430.png,7.00
crops\crop_000431.png,21.00
crops\crop_000432.png,SR: XTRASEAL RTV ACETIC SILICONE SA-107
crops\crop_000433.png,9744
crops\crop_000434.png,1
crops\crop_000435.png,18.00
crops\crop_000436.png,18.00
crops\crop_000437.png,12525
crops\crop_000438.png,1
crops\crop_000439.png,50.00
crops\crop_000440.png,50.00
crops\crop_000441.png,"SR. 24"" MARKSMAN PIPE WRENCH"
crops\crop_000442.png,2016
crops\crop_000443.png,3
crops\crop_000444.png,0.70
crops\crop_000445.png,2.10
crops\crop_000446.png,SR: PVC WIRE TAPE 1PC X 7YD
crops\crop_000447.png,TOT QTY:
crops\crop_000448.png,9
crops\crop_000449.png,106.10
crops\crop_000450.png,(EXCLUDED GST) SUB TOTAL (RM) :
crops\crop_000451.png,106.10
crops\crop_000452.png,DISCOUNT (RM) :
crops\crop_000453.png,0.00
crops\crop_000454.png,TOTAL GST (RM) :
crops\crop_000455.png,6.37
crops\crop_000456.png,ROUNDING (RM) :
crops\crop_000457.png,-0.02
crops\crop_000458.png,TOTAL (RM) :
crops\crop_000459.png,112.45
crops\crop_000460.png,CASH :
crops\crop_000461.png,112.45
crops\crop_000462.png,CHANGE (RM) :
crops\crop_000463.png,0.00
crops\crop_000464.png,GST SUMMARY
crops\crop_000465.png,TAX CODE
crops\crop_000466.png,%
crops\crop_000467.png,AMOUNT
crops\crop_000468.png,GST
crops\crop_000469.png,SR
crops\crop_000470.png,6
crops\crop_000471.png,106.10
crops\crop_000472.png,6.37
crops\crop_000473.png,TOTAL :
crops\crop_000474.png,106.10
crops\crop_000475.png,6.37
crops\crop_000476.png,GOODS SOLD ARE NOT RETURNABLE.
crops\crop_000477.png,THANK YOU.
crops\crop_000478.png,1950
crops\crop_000479.png,GERBANG ALAF RESTAURANTS SDN BHD
crops\crop_000480.png,(65351-M)
crops\crop_000481.png,FORMERLY KNOWN AS
crops\crop_000482.png,GOLDEN ARCHES RESTAURANTS SDN BHD
crops\crop_000483.png,LICENSEE OF MCDONALD'S
crops\crop_000484.png,SELANGOR
crops\crop_000485.png,(GST ID NO: 000504664064)
crops\crop_000486.png,MCDONALD'S BHP TAMAN MELAWATI(#328)
crops\crop_000487.png,TEL NO. 03-4162-2318
crops\crop_000488.png,TAX INVOICE
crops\crop_000489.png,MFY SIDE 1
crops\crop_000490.png,INV# 003281900229170
crops\crop_000491.png,ORD #50 -REG #19- 18/01/2018 10:27:03
crops\crop_000492.png,QTY ITEM
crops\crop_000493.png,2 CHICMCMUFFIN
crops\crop_000494.png,1 M PORRIDGE
crops\crop_000495.png,1 BM 2HOTCAKES
crops\crop_000496.png,1 L COKE
crops\crop_000497.png,TAKEOUT TOTAL (INCL GST)
crops\crop_000498.png,TOTAL ROUNDED
crops\crop_000499.png,CASH TENDERED
crops\crop_000500.png,CHANGE
crops\crop_000501.png,TOTAL INCLUDES 6% GST
crops\crop_000502.png,TOTAL
crops\crop_000503.png,11.00
crops\crop_000504.png,5.60
crops\crop_000505.png,10.00
crops\crop_000506.png,26.60
crops\crop_000507.png,26.60
crops\crop_000508.png,100.00
crops\crop_000509.png,73.40
crops\crop_000510.png,1.51
crops\crop_000511.png,WE'D LOVE TO HEAR YOUR FEEDBACK
crops\crop_000512.png,SIT WWW.MCDFEEDBACK.COM.MY
crops\crop_000513.png,OR
crops\crop_000514.png,DOWNLOAD MY MCD FEEDBACK FROM
crops\crop_000515.png,GOOGLE PLAY/APP STORE
crops\crop_000516.png,TO SHARE YOUR EXPERIENCE
crops\crop_000517.png,THANK YOU AND PLEASE COME AGAIN.
crops\crop_000518.png,CUSTOMER SERVICE HOTLINE : 03-2726-5600
crops\crop_000519.png,SAM SAM TRADING CO
crops\crop_000520.png,(742016-W)
crops\crop_000521.png,40400 SHAH ALAM.
crops\crop_000522.png,TEL/FAX : 03-51213881
crops\crop_000523.png,GST NO: 001006288896
crops\crop_000524.png,TAX INVOICE
crops\crop_000525.png,HE EOG UNICORN TWIN SUPER GLUE USG-99-
crops\crop_000526.png,9557368063013
crops\crop_000527.png,SS EZL A4 CYBER MIX COLOR PAPER 100'S8
crops\crop_000528.png,2
crops\crop_000529.png,008
crops\crop_000530.png,1 X
crops\crop_000531.png,5.20
crops\crop_000532.png,5.20 S
crops\crop_000533.png,1 X
crops\crop_000534.png,8.90
crops\crop_000535.png,8.90 S
crops\crop_000536.png,INV:R000721136
crops\crop_000537.png,01
crops\crop_000538.png,SWH
crops\crop_000539.png,WC5
crops\crop_000540.png,NO. QTY:
crops\crop_000541.png,: SAM SAM
crops\crop_000542.png,2 NO. ITEMS:
crops\crop_000543.png,CAS
crops\crop_000544.png,TIME : 20:17
crops\crop_000545.png,2
crops\crop_000546.png,TAX AMT (S) 6%
crops\crop_000547.png,GST 6%
crops\crop_000548.png,TAX AMT (Z)
crops\crop_000549.png,GST 0%
crops\crop_000550.png,TAX AMT (E) 6%
crops\crop_000551.png,EXC GST 6%
crops\crop_000552.png,RM 13.30
crops\crop_000553.png,RM 0.80
crops\crop_000554.png,RM 0.00
crops\crop_000555.png,RM 0.00
crops\crop_000556.png,RM 0.00
crops\crop_000557.png,RM 0.00
crops\crop_000558.png,TOTAL
crops\crop_000559.png,RM 14.10
crops\crop_000560.png,CASH
crops\crop_000561.png,RM 20.00
crops\crop_000562.png,CHANGE
crops\crop_000563.png,RM 5.90
crops\crop_000564.png,THANK YOU FOR SHOPPING
crops\crop_000565.png,GOODS SOLD ARE NOT RETURNABLE.
crops\crop_000566.png,29-12-2017
crops\crop_000567.png,0%
crops\crop_000568.png,AIK HUAT HARDWARE
crops\crop_000569.png,ENTERPRISE (SETIA
crops\crop_000570.png,ALAM) SDN BHD
crops\crop_000571.png,822737-X
crops\crop_000572.png,TEL: 012 - 6651783 FAX: 03 - 33623608
crops\crop_000573.png,GST NO: 000394528768
crops\crop_000574.png,SIMPLIFIED TAX INVOICE
crops\crop_000575.png,CASH
crops\crop_000576.png,RECEIPT #: CSP0393921 DATE: 15/06/2017
crops\crop_000577.png,BIG STRETCH FILM ???
crops\crop_000578.png,SALESPERSON : AH002
crops\crop_000579.png,TIME: 15:28:00
crops\crop_000580.png,ITEM
crops\crop_000581.png,QTY
crops\crop_000582.png,U/P
crops\crop_000583.png,(RM)
crops\crop_000584.png,AMOUNT
crops\crop_000585.png,(RM)
crops\crop_000586.png,2000160000024
crops\crop_000587.png,1
crops\crop_000588.png,15.00
crops\crop_000589.png,15.00 S
crops\crop_000590.png,"20"" 1.6KG X 500MM"
crops\crop_000591.png,TAL QUANTITY
crops\crop_000592.png,1
crops\crop_000593.png,SUB-TOTAL (GST)
crops\crop_000594.png,15.00
crops\crop_000595.png,DISC
crops\crop_000596.png,0.00
crops\crop_000597.png,ROUNDING
crops\crop_000598.png,0.00
crops\crop_000599.png,TOTAL
crops\crop_000600.png,15.00
crops\crop_000601.png,CASH
crops\crop_000602.png,15.00
crops\crop_000603.png,CHANGE
crops\crop_000604.png,0.00
crops\crop_000605.png,*GST @ 6% INCLUDED IN TOTAL
crops\crop_000606.png,GST SUMMARY
crops\crop_000607.png,CODE
crops\crop_000608.png,AMOUNT
crops\crop_000609.png,%
crops\crop_000610.png,TAX/AMT
crops\crop_000611.png,SR
crops\crop_000612.png,14.15
crops\crop_000613.png,6
crops\crop_000614.png,0.85
crops\crop_000615.png,TAX TOTAL:
crops\crop_000616.png,0.85
crops\crop_000617.png,THANK YOU FOR CHOOSING US.
crops\crop_000618.png,PROVIDE ORIGINAL BILL FOR GOODS
crops\crop_000619.png,EXCHANGE WITHIN 1 WEEK FROM TRANSACTION
crops\crop_000620.png,GOODS MUST BE IN ORIGINAL STATE TO BE
crops\crop_000621.png,ENTITLED FOR EXCHANGE.
crops\crop_000622.png,HOME MASTER HARDWARE &
crops\crop_000623.png,ELECTRICAL
crops\crop_000624.png,SELANGOR.
crops\crop_000625.png,COMPANY REG NO. :SA03711551-P
crops\crop_000626.png,GST REG NO. :001637511168
crops\crop_000627.png,TAX INVOICE
crops\crop_000628.png,INVOLCE NO.:
crops\crop_000629.png,DATE :
crops\crop_000630.png,22/12/2017 14:03
crops\crop_000631.png,CASHLER # :
crops\crop_000632.png,CASHIER
crops\crop_000633.png,RM
crops\crop_000634.png,CODE
crops\crop_000635.png,24MMX7Y M.ONE TAPE
crops\crop_000636.png,1.00
crops\crop_000637.png,X
crops\crop_000638.png,15.90
crops\crop_000639.png,15.90
crops\crop_000640.png,SR
crops\crop_000641.png,SUBTOTAL :
crops\crop_000642.png,15.90
crops\crop_000643.png,TOTAL EXCL. OF GST
crops\crop_000644.png,15.00
crops\crop_000645.png,TOTAL INCL. OF GST
crops\crop_000646.png,15.90
crops\crop_000647.png,TOTAL AMT ROUNDED
crops\crop_000648.png,15.90
crops\crop_000649.png,PAYMENT :
crops\crop_000650.png,50.00
crops\crop_000651.png,CHANGE DUE :
crops\crop_000652.png,34.10
crops\crop_000653.png,TOTAL ITEM(S) : 1
crops\crop_000654.png,G
crops\crop_000655.png,AMOUNT(RM)
crops\crop_000656.png,TAX(RM)
crops\crop_000657.png,SR
crops\crop_000658.png,@ 6%
crops\crop_000659.png,15.00
crops\crop_000660.png,0.90
crops\crop_000661.png,THANK YOU
crops\crop_000662.png,ANY GOODS RETURN PLEASE DO WITHIN
crops\crop_000663.png,7 DAYS WITH ORIGINAL RECEIPT TQ^^
crops\crop_000664.png,CS 67832
crops\crop_000665.png,UMMARY
crops\crop_000666.png,RESTORAN HASSANBISTRO
crops\crop_000667.png,NO.2-1-1 JALAN SETIA PRIMA Q
crops\crop_000668.png,U 13/Q SETIA ALAM 40170
crops\crop_000669.png,SHAM ALAM
crops\crop_000670.png,SELANGOR
crops\crop_000671.png,TAX INVOICE
crops\crop_000672.png,TERMINAL : C1
crops\crop_000673.png,2017-12-28 22:17PM
crops\crop_000674.png,THANK YOU.COME AGAIN
crops\crop_000675.png,CASHIER
crops\crop_000676.png,: HASSAN
crops\crop_000677.png,0.00
crops\crop_000678.png,BILL NO
crops\crop_000679.png,: C1-0170778
crops\crop_000680.png,RM
crops\crop_000681.png,DATE
crops\crop_000682.png,: 12/28/2017 10:17:32 PM
crops\crop_000683.png,CHANGE
crops\crop_000684.png,TOKEN
crops\crop_000685.png,: CT1
crops\crop_000686.png,15.00
crops\crop_000687.png,TABLE
crops\crop_000688.png,: CT1
crops\crop_000689.png,RM
crops\crop_000690.png,PR
crops\crop_000691.png,QTY
crops\crop_000692.png,U.PRICE
crops\crop_000693.png,GST
crops\crop_000694.png,TOTAL
crops\crop_000695.png,MAKANAN
crops\crop_000696.png,1
crops\crop_000697.png,15.00
crops\crop_000698.png,0
crops\crop_000699.png,15.00 ZR
crops\crop_000700.png,TOTAL ITEMS
crops\crop_000701.png,=
crops\crop_000702.png,1.00
crops\crop_000703.png,TOTAL QTY
crops\crop_000704.png,=
crops\crop_000705.png,1.00
crops\crop_000706.png,SUB TOTAL
crops\crop_000707.png,RM
crops\crop_000708.png,15.00
crops\crop_000709.png,DISCOUNT
crops\crop_000710.png,RM
crops\crop_000711.png,0.00
crops\crop_000712.png,TOTAL EXCL .6% GST
crops\crop_000713.png,RM
crops\crop_000714.png,15.00
crops\crop_000715.png,GST 6%
crops\crop_000716.png,RM
crops\crop_000717.png,0.00
crops\crop_000718.png,TOTAL INCL .6% GST
crops\crop_000719.png,RM
crops\crop_000720.png,15.00
crops\crop_000721.png,ROUNDING
crops\crop_000722.png,RM
crops\crop_000723.png,0.00
crops\crop_000724.png,CASH
crops\crop_000725.png,T
crops\crop_000726.png,ASIA MART
crops\crop_000727.png,(SA0264195-T)
crops\crop_000728.png,GST ID : 001609584640
crops\crop_000729.png,TAX INVOICE
crops\crop_000730.png,DOC NO
crops\crop_000731.png,: CS02070163
crops\crop_000732.png,DATE: 22/12/2017
crops\crop_000733.png,CASHIER
crops\crop_000734.png,: EIRA
crops\crop_000735.png,TIME: 00:06:00
crops\crop_000736.png,SALESPERSON : EIRA
crops\crop_000737.png,S LIME 50G
crops\crop_000738.png,REF.:
crops\crop_000739.png,ITEM
crops\crop_000740.png,QTY
crops\crop_000741.png,S/PRICE
crops\crop_000742.png,(GST)
crops\crop_000743.png,(GST)
crops\crop_000744.png,S/PRICE
crops\crop_000745.png,AMOUNT
crops\crop_000746.png,TAX
crops\crop_000747.png,9556641320027
crops\crop_000748.png,17
crops\crop_000749.png,0.85
crops\crop_000750.png,0.90
crops\crop_000751.png,15.25
crops\crop_000752.png,SR
crops\crop_000753.png,DELICIA CHOCOLATE [50G]
crops\crop_000754.png,9556231110045
crops\crop_000755.png,1
crops\crop_000756.png,3.55
crops\crop_000757.png,3.55
crops\crop_000758.png,3.55
crops\crop_000759.png,ZRL
crops\crop_000760.png,GARDENIA ORIGINAL CLASSIC JUMBO [600G]
crops\crop_000761.png,9556127101331
crops\crop_000762.png,1
crops\crop_000763.png,1.41
crops\crop_000764.png,1.50
crops\crop_000765.png,1.50
crops\crop_000766.png,SR
crops\crop_000767.png,HU
crops\crop_000768.png,8850199320722
crops\crop_000769.png,1
crops\crop_000770.png,1.42
crops\crop_000771.png,1.51
crops\crop_000772.png,1.51
crops\crop_000773.png,SR
crops\crop_000774.png,DOREMON CATCAT JOY 15G
crops\crop_000775.png,8850199320722
crops\crop_000776.png,1
crops\crop_000777.png,1.42
crops\crop_000778.png,1.51
crops\crop_000779.png,1.51
crops\crop_000780.png,SR
crops\crop_000781.png,DOREMON CATCAT JOY 15G
crops\crop_000782.png,8888002188511
crops\crop_000783.png,1
crops\crop_000784.png,2.30
crops\crop_000785.png,2.44
crops\crop_000786.png,2.44
crops\crop_000787.png,SR
crops\crop_000788.png,MINUTE MAID PULPY [OREN] [350ML]
crops\crop_000789.png,8888002188511
crops\crop_000790.png,1
crops\crop_000791.png,2.30
crops\crop_000792.png,2.44
crops\crop_000793.png,2.44
crops\crop_000794.png,SR
crops\crop_000795.png,MINUTE MAID PULPY [OREN] [350ML]
crops\crop_000796.png,9556145026
crops\crop_000797.png,1
crops\crop_000798.png,1.51
crops\crop_000799.png,1.60
crops\crop_000800.png,1.60
crops\crop_000801.png,SR
crops\crop_000802.png,TINGE LEMON DRINK 500ML
crops\crop_000803.png,955657031213
crops\crop_000804.png,2.74
crops\crop_000805.png,2.90
crops\crop_000806.png,2.90
crops\crop_000807.png,SR
crops\crop_000808.png,100 PLUS [1.50]
crops\crop_000809.png,TOTAL QTY:
crops\crop_000810.png,25
